algorithm_version,icd_system,category,weight,hierarchy_supersedes,provenance
quan-2005-charlson-icd9cm-icd10cm-v1,ICD-9-CM,myocardial_infarction,1,,Quan et al. Medical Care 2005 doi:10.1097/01.mlr.0000182534.19832.83
quan-2005-charlson-icd9cm-icd10cm-v1,ICD-10-CM,myocardial_infarction,1,,Quan et al. Medical Care 2005 doi:10.1097/01.mlr.0000182534.19832.83
quan-2005-charlson-icd9cm-icd10cm-v1,both,congestive_heart_failure,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,peripheral_vascular_disease,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,cerebrovascular_disease,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,dementia,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,chronic_pulmonary_disease,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,rheumatic_disease,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,peptic_ulcer_disease,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,mild_liver_disease,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,diabetes_without_complication,1,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,diabetes_with_complication,2,diabetes_without_complication,
quan-2005-charlson-icd9cm-icd10cm-v1,both,hemiplegia_or_paraplegia,2,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,renal_disease,2,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,nonmetastatic_malignancy,2,,
quan-2005-charlson-icd9cm-icd10cm-v1,both,moderate_or_severe_liver_disease,3,mild_liver_disease,
quan-2005-charlson-icd9cm-icd10cm-v1,both,metastatic_solid_tumor,6,nonmetastatic_malignancy,
quan-2005-charlson-icd9cm-icd10cm-v1,both,aids_hiv,6,,
