bridge_key,visit_occurrence_id
B000,V000
B001,V001
B002,V002
B003,V003
B004,V004
B005,V005
B006,V006
B007,V007
B008,V008
B009,V009
B010,V010
B011,V011
B012,V012
B013,V013
B014,V014
B015,V015
B016,V016
B017,V017
B018,V018
B019,V019
B020,V020
B021,V021
B022,V022
B023,V023
B024,V024
B025,V025
B026,V026
B027,V027
B028,V028
B029,V029
B030,V030
B031,V031
B032,V032
B033,V033
B034,V034
B035,V035
B036,V036
B037,V037
B038,V038
B039,V039
B040,V040
B041,V041
B042,V042
B043,V043
B044,V044
B045,V045
B046,V046
B047,V047
B048,V048
B049,V049
B050,V050
B051,V051
B052,V052
B053,V053
B054,V054
B055,V055
B056,V056
B057,V057
B058,V058
B059,V059
B060,V060
B061,V061
B062,V062
B063,V063
B064,V064
B065,V065
B066,V066
B067,V067
B068,V068
B069,V069
B070,V070
B071,V071
B072,V072
B073,V073
B074,V074
